Id;song;artist;duration_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
;I Don't Like;Chief Keef;295867;754;877;2;-3.486;1;0.0586;0.000869;0.0;0.0576;557;132.033
;Sleeping Ute;Grizzly Bear;275286;327;654;6;-6.258;0;0.0364;148;0.00442;0.0939;262;102.532
;Hands On the Wheel (feat. a$Ap Rocky);ScHoolboy Q;197132;646;778;1;-7.44;0;103;0.0173;0.0;0.0702;173;127.813
;The Kids Were Wrong;Memoryhouse;252707;486;526;0;-9.041;1;0.0272;0.00991;158;0.0976;726;75.461
;Walk With Me;Memoryhouse;283373;551;504;7;-11.166;1;0.0309;473;664;0.0818;137;115.998
;Her Fantasy;Matthew Dear;374133;586;806;1;-9.542;1;0.0548;0.0246;0.000167;353;207;110.325
;Der Kommissar;After The Fire;337187;694;716;7;-7.468;1;0.0513;0.00909;0.000814;0.0772;896;121.427
;Slow Down;Clyde Carson;220987;817;528;1;-6.551;1;0.0656;122;0.0;284;161;100.997
;Genesis;Grimes;255320;611;677;10;-6.745;0;34;0.0764;0.0698;241;233;166.04
;About to Die;Dirty Projectors;239360;727;657;0;-5.307;1;188;419;0.0;0.0624;794;82.553
;Best Night;The War On Drugs;330920;485;793;0;-8.693;1;0.0573;229;784;406;295;131.951
;Brothers;The War On Drugs;269000;0.52;872;8;-8.104;1;0.0483;0.0413;725;161;524;111.958
;We Own The Sky;M83;304907;399;761;9;-6.318;1;0.0334;0.000105;0.0456;0.0757;244;140.084
;Chicken Half;Sugarman Three;212602;582;903;0;-4.505;1;0.0335;0.52;779;243;902;119.457
;Two Of Hearts;Stacey Q;237533;852;523;5;-6.716;0;32;0.0833;0.0;106;648;130.154
;The Perfect Kiss;New Order;289640;623;806;0;-8.533;1;0.0352;0.0156;0.0769;201;847;130.049
;Can I Kick It?;A Tribe Called Quest;265400;844;688;4;-8.594;0;291;145;0.00351;104;747;96.671
;Sure Thing;Miguel;195373;684;603;11;-8.127;0;0.0989;0.0275;0.000311;191;508;81.0
;Kim & Jessie;M83;322933;498;553;5;-6.193;1;0.0332;0.000103;528;273;228;111.015
;Outro;M83;247027;162;254;2;-11.251;1;0.0359;0.0329;122;0.0631;0.0778;108.943
;We Are the People;Empire of the Sun;272175;671;784;4;-5.514;0;0.0303;0.0842;0.0121;231;545;122.995
;Look At Where We Are;Hot Chip;239427;792;387;8;-8.192;0;0.0464;597;0.000106;0.0757;677;136.996
;Don't Owe You a Thang;Gary Clark Jr.;213853;417;944;9;-5.192;1;0.0459;0.0801;0.00141;0.0862;376;109.721
;Money Trees;Kendrick Lamar;386907;739;526;4;-7.384;0;101;0.0726;0.0;215;374;143.948
;Hood Pass Intact feat. MC Eiht;Dâm-Funk;286213;791;916;2;-2.009;1;178;203;0.0;0.0924;0.62;103.709
;Got No Money;FIDLAR;128187;491;935;1;-4.22;1;0.0343;0.00341;348;121;964;157.993
;Birthday Song;2 Chainz;306600;748;586;1;-2.554;1;0.0512;0.0581;0.0;156;162;140.067
;Oh;FIDLAR;141305;351;931;6;-5.746;0;0.0539;7.79e-05;129;226;604;126.394
;No Waves;FIDLAR;139560;0.48;964;7;-3.681;1;0.0656;1;0.000273;131;579;98.496
;Wake Bake Skate;FIDLAR;99413;123;963;10;-4.182;1;0.0543;3.41e-05;0.0329;292;0.68;198.04
;No Ass;FIDLAR;93267;401;972;0;-2.236;1;0.0886;0.00814;878;382;405;152.839
;Black Out Stout;FIDLAR;182600;228;886;9;-3.87;0;0.0497;0.00023;848;307;499;165.201
;Plague;Crystal Castles;295880;465;633;11;-9.493;0;0.0578;0.0214;0.79;105;0.0451;130.074
;Kerosene;Crystal Castles;192000;438;539;8;-9.578;1;166;0.11;0.0;143;0.0759;166.649
;Wrath Of God;Crystal Castles;186627;396;601;0;-9.347;1;0.0515;0.0036;531;116;351;129.996
;Pale Flesh;Crystal Castles;178800;596;628;5;-7.582;0;0.0503;0.000183;0.00767;187;0.52;139.965
;Past Lives;DIIV;141627;276;766;7;-6.012;0;0.0373;0.000964;858;0.15;547;158.188
;Pictures Of Matchstick Men;Status Quo;194600;241;588;7;-6.914;1;0.0313;104;0.00042;87;506;171.882
;Get Up;Craig Bratley;397166;821;902;11;-7.203;1;0.0542;0.000341;909;0.0898;269;112.98
;Cloud Atlas End Title;Tom Tykwer;476164;354;228;0;-10.304;1;0.0296;854;0.8;113;0.0745;82.758
;Keep You;Wild Belle;210160;638;897;7;-5.78;0;0.0504;0.0372;0.00748;0.0691;915;133.948
;Anything New;Bibio;247360;651;642;2;-4.276;1;167;0.0101;0.000186;0.0902;711;88.237
;Adorn;Miguel;193147;625;576;11;-5.693;0;175;0.0543;4.07e-05;187;223;179.063
;Louie Louie;Toots & The Maytals;346160;759;772;7;-8.052;1;125;169;0.0687;0.0668;752;89.245
;Under Mi Sensi;Barrington Levy;190360;726;664;0;-6.275;1;108;0.0175;0.0;195;494;75.571
;Loner;Burial;448315;611;0.9;1;-10.026;1;0.0593;0.8;872;0.19;322;129.729
;Murderer;Barrington Levy;233300;865;549;0;-10.083;1;244;0.0845;158;81;619;142.8
;Space Cakes - Original;Tanner Ross;375179;794;481;6;-11.97;1;149;0.00135;883;0.0833;314;114.003
;There, There;Radiohead;323600;614;677;9;-8.317;0;0.0323;0.0193;518;108;726;126.477
;Nightcall;Kavinsky;258413;535;857;9;-5.2;0;0.0543;0.0113;0.00751;472;431;91.053
;Jacket & Tie;Toyan;230307;815;672;8;-5.675;1;0.27;453;0.0;112;813;151.362
;Doom And Gloom - Jeff Bhasker Mix;The Rolling Stones;247175;595;794;0;-5.186;1;0.0345;0.00104;0.00733;0.0693;685;131.619
;All Of Me;Tanlines;230587;683;698;9;-6.255;1;0.0395;4.06e-05;0.000113;58;962;125.999
;Females Welcomed (feat. Reija Lee);Trinidad James;192026;722;619;9;-8.324;0;352;0.0829;0.0;0.0533;606;140.031
;Blueberry (Pills & Cocaine) (feat. Danny Brown);Darq E Freaker;277375;647;841;10;-2.507;1;164;0.0985;0.0;897;886;139.963
;Max Can't Surf;FIDLAR;146227;428;972;11;-4.329;0;0.0514;0.000455;0.000854;313;0.48;133.064
;Wait for the Man;FIDLAR;109533;325;918;2;-4.823;1;71;9.19e-06;0.000288;276;184;95.537
;Inspector Norse;Todd Terje;400751;912;781;7;-7.018;0;0.0444;74;762;348;891;119.978
;Love Sosa;Chief Keef;246573;771;416;0;-8.188;0;0.0894;0.0324;0.0;111;218;131.952
;This Time Around;Softwar;398615;759;764;10;-7.416;0;0.0446;0.00069;719;116;315;117.996
;See Blind Through;Canyons;264213;691;737;10;-5.758;0;0.0447;135;0.0291;127;675;108.049
;Vowels = space and time;Grimes;261120;701;822;6;-6.13;1;0.0366;139;0.0526;0.0726;739;129.03
;Be A Body;Grimes;260413;736;0.58;5;-9.643;0;0.0485;263;663;101;144;140.04
;Unchained (The Payback / Untouchable);James Brown;171573;564;912;5;-4.718;0;143;131;8.05e-06;369;582;92.054
;Stomp - Dirty;5kinAndBone5;181800;824;513;8;-9.591;1;208;164;0.0;0.0487;568;99.938
;Borrowed Time;Parquet Courts;152040;406;0.74;0;-7.232;1;31;0.0451;722;637;822;92.333
;Young N*****;Gucci Mane;204293;762;883;0;-4.397;1;0.18;116;0.0;0.3;781;140.974
;All Gold Everything;Trinidad James;187847;0.54;0.77;7;-7.748;1;354;78;0.0;0.0846;0.62;99.882
;What I Might Do - Club Mix;Ben Pearce;389508;834;481;8;-9.511;1;135;109;822;111;306;121.999
;I Love It (feat. Charli XCX) - Original Version;Icona Pop;155337;714;905;8;-2.663;1;0.0289;0.00855;2.55e-05;146;824;125.927
;Kenosha;Swearin';162168;0.36;774;3;-8.758;1;0.0384;0.0015;807;0.0996;664;80.205
;Fineshrine;Purity Ring;209760;609;798;5;-4.448;0;0.0404;18;8.68e-06;434;405;130.034
;Flow;Disclosure;309180;777;688;8;-8.692;0;0.0681;0.0047;0.69;96;0.18;126.019
;C'Est La Vie;Booba;267307;749;647;2;-6.878;1;137;135;0.0;142;196;146.024
;Caramel;Booba;260853;0.67;544;1;-9.643;0;124;0.0202;0.00792;0.14;331;140.037
;O.G;Booba;228907;684;637;9;-6.378;1;61;0.00627;0.0;297;245;140.063
;HLM 3;Lunatic;321627;633;0.85;5;-5.915;0;344;151;0.0;0.0556;761;97.933
;The Mighty Ming - Original Club Mix;Funkagenda;457205;594;0.77;0;-7.082;1;0.0629;49;0.9;103;0.14;125.987
;Harlem Shake;Baauer;196664;473;794;9;-5.151;1;0.0462;0.0119;0.00218;418;293;139.313
;Purp Walk;Lunice;255844;931;606;1;-8.366;1;269;0.00207;461;92;865;94.018
;Do You Like It? (Feat. Kool A.D);Chaz Van Queen;232611;744;685;7;-8.332;1;0.34;432;0.0;319;0.56;87.675
;Gucci On The Rise;Gucci Mane;150053;752;783;9;-7.507;1;151;0.0452;0.0;194;611;159.912
;Hate Bein' Sober;Chief Keef;280173;821;469;8;-7.152;1;0.0473;0.00469;0.0;141;321;132.002
;Traffic;Lil Reese;237293;908;513;2;-5.318;1;0.0973;0.00271;0.0;141;256;130.047
;Hold Me Back;Rick Ross;267147;636;702;11;-5.437;1;0.0743;0.0401;0.0;105;471;125.998
;Oldie;Odd Future;636213;839;583;1;-5.941;1;268;239;0.0;262;557;87.99
;Started From the Bottom;Drake;173160;0.79;531;8;-6.968;1;197;0.0425;0.0;266;498;86.306
;Dum Dum;Baauer;121874;787;0.81;5;-7.822;1;0.0993;0.0596;125;625;606;77.505
;Higher - Extended;Just Blaze and Baauer;342020;603;978;11;-1.367;0;186;0.000451;493;404;496;150.072
;Gone, Gone;Juicy J;225940;937;0.67;9;-6.149;1;107;0.00402;0.0;108;592;136.029
;Rock Creek Park;The Blackbyrds;275907;748;703;2;-11.869;1;0.0663;0.0912;0.0036;0.0635;618;110.615
;Leaving Babylon;Bad Brains;250587;727;235;0;-20.263;1;0.16;0.00741;0.0159;0.0769;0.59;127.16
;Trap Shit V7;UZ;222330;857;948;10;-6.901;0;204;0.000117;816;317;669;140.002
;Good Life - Original 12'' Mix;Inner City;432800;793;978;11;-9.229;0;0.0648;0.0295;0.0331;0.0764;711;124.922
;Big Fun - Original 12'' Mix;Inner City;461560;738;808;10;-9.772;0;0.0522;0.0492;734;36;816;120.248
;Piss Test (feat. Juicy J & Dany Brown);A-Trak;223071;864;0.86;11;-1.92;1;178;0.00905;0.0;183;883;140.029
;Can't Seem To Make You Mine;Sky Saxon & The Seeds;219618;688;457;7;-9.86;1;0.0338;0.0234;0.0;127;645;109.278
;Borderline;Classixx;267160;786;525;1;-8.271;0;0.0388;423;461;0.0876;0.43;128.014
;Elevate - Q45 Remix;Toni Toni Lee;394857;734;686;5;-9.781;0;0.0761;0.00201;0.11;0.0408;543;128.021
;With You (feat. Alexis Taylor);Carte Blanche (feat. Alexis Taylor);246823;765;891;9;-6.43;0;0.0514;0.0196;0.0145;0.0293;564;126.99
;Can't Shake This Feeling;Grum;238640;725;798;0;-6.75;0;162;0.00263;2.14e-06;0.0791;0.72;124.045
;Check Me Out Like;Blaqstarr;156800;962;592;9;-11.716;0;108;14;642;134;361;130.684
;Second Summer;YACHT;292654;845;455;11;-5.209;1;0.0693;0.00167;5.97e-05;0.0414;832;119.987
;Demon To Lean On;Wavves;261587;0.5;0.95;6;-4.333;1;0.0677;0.000321;0.0293;382;298;120.038
;Walk In The Park;Beach House;322760;648;547;5;-6.547;1;0.0245;0.0537;0.0439;0.0826;851;141.378
;Reckless (With Your Love);Azari & III;347387;0.77;0.69;9;-4.903;0;0.0977;0.00576;0.0107;0.0684;721;118.989
;Reckless (With Your Love) - Tensnake Remix;Azari & III;420384;0.61;907;11;-5.857;0;0.0384;3.13e-05;698;0.23;397;112.007
;Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli Sandé];Wiley;146906;663;877;5;-3.37;0;0.0538;0.00318;0.00217;124;396;135.989
;(Bonus) Break Her Down;Iamsu!;155042;831;373;1;-6.896;1;157;0.000548;0.000362;0.1;356;96.115
;Molly Ringwald;Danny Brown;141724;653;817;1;-5.077;1;239;0.0482;0.0;157;493;135.345
;8 Feet Tall;Problem;255135;0.72;748;5;-7.607;1;447;8.34e-05;0.0;0.11;555;182.064
;36 Chamber Flow;Flatbush Zombies;118353;808;593;1;-9.395;1;344;769;2.07e-06;111;0.88;89.876
;Trill Hoe;Western Tink;216585;798;481;7;-10.488;1;314;0.0302;0.0;128;0.64;127.136
;Saturday Love;Toro y Moi;245733;586;915;6;-6.264;1;31;0.00706;236;192;747;117.99
;Sweater Weather;The Neighbourhood;240040;695;615;7;-5.325;0;42;0.15;0.000212;0.0879;425;124.015
;Oh My - Club Mix;The Partysquad;250299;587;784;9;-4.878;1;0.0469;0.00749;0.0126;264;0.13;139.99
;Saltkin;Purity Ring;205533;675;862;8;-5.309;0;0.0501;0.0765;0.000609;364;819;124.982
;Lofticries;Purity Ring;239613;671;0.73;8;-6.773;1;0.0369;116;0.000356;201;302;112.011
;Get It In;Iamsu!;156614;632;793;10;-4.171;0;102;0.00221;0.0;171;393;189.992
;My Bad - Club Mix;The Partysquad;227327;774;0.92;11;-4.213;1;0.25;0.0106;433;146;223;128.97
;I'm Different;2 Chainz;207040;941;685;10;-5.24;1;0.0752;0.0415;0.0;0.08;695;97.524
;Get Lucky - Radio Edit;Daft Punk;248413;794;811;6;-8.966;0;38;0.0426;1.07e-06;101;865;116.047
;Had A Dream;EMP DASME;192623;805;634;7;-7.759;1;0.0535;0.0436;0.0;0.0579;0.76;143.944
;Recover;CHVRCHES;225680;394;669;7;-4.461;1;56;0.00584;0.0;334;195;169.929
;Now Is Not the Time;CHVRCHES;224747;635;459;2;-7.59;1;0.0491;0.0347;0.000184;77;345;114.865
;MDA;Problem;211042;669;765;8;-7.885;1;51;0.00116;0.0;312;163;131.946
;Pop That;French Montana;304880;742;912;6;-1.188;0;0.13;0.0637;0.0;599;562;137.975
;Young & Gettin' It - feat. Kirko Bangz;Meek Mill;205973;624;752;4;-5.43;1;121;244;0.0;131;862;134.021
;Best Wishes;Iamsu!;218480;622;628;7;-9.964;0;243;0.45;0.0;251;304;144.812
;Kids;Iamsu!;216000;719;0.66;2;-8.22;1;0.0829;121;0.0;127;357;119.996
;Levitate;Paper Diamond;200015;525;0.8;11;-11.484;1;122;0.000478;429;319;0.52;80.032
;Get Free (feat. Amber of Dirty Projectors);Major Lazer;291162;525;538;11;-9.366;0;0.0783;0.14;117;95;791;175.953
;Balance;Future Islands;246427;472;855;0;-6.937;1;69;0.000373;0.93;887;166;154.908
;The Lion - Original Mix;The Partysquad;262168;0.9;929;7;-718;1;148;0.00417;2.04e-05;524;566;129.991
;For Your Love - Club Edit;The Partysquad;334849;802;586;5;-6.245;1;103;0.000839;0.0212;0.0587;407;128.011
;For Your Love - Olav Basoski Remix;The Partysquad;358436;723;669;11;-5.026;0;0.0582;0.000423;936;0.0751;156;126.013
;Slippin’;Quadron;253187;797;508;9;-8.154;0;0.0455;284;0.00859;356;958;118.032
;Take You On;Peaches;224107;869;426;7;-8.187;1;202;0.00255;534;113;457;127.059
;One of Those Nights;Juicy J;256933;756;595;1;-6.924;1;0.0333;0.0302;1.98e-06;146;0.0681;130.031
;Get Lucky - Daft Punk Remix;Daft Punk;632693;821;793;6;-9.003;0;0.0391;0.0267;1.37e-05;0.0751;0.91;116.009
;No Way Back;Adonis;297907;806;772;6;-14.369;1;0.0856;0.000891;864;101;436;125.325
;Ride The Rhythm;On The House featuring Marshall Jefferson;420107;702;504;9;-16.794;1;342;152;5.11e-06;0.22;794;121.374
;Move Your Body - Extended Mix;Benny Benassi;282791;646;929;2;-1.501;1;194;0.0956;1.12e-06;159;229;128.995
;Rockin' In The Free World;Neil Young;281853;491;883;4;-4.986;0;0.0306;0.000736;3.19e-05;369;516;131.75
;Feels Like We Only Go Backwards;Tame Impala;192960;291;901;2;-2.327;0;0.0563;28;627;116;511;150.052
;Half Full Glass of Wine;Tame Impala;266173;683;776;0;-7.029;1;0.0754;274;0.0748;0.0885;667;126.18
;Bubble Butt [Radio Mix] [feat. Bruno Mars, 2 Chainz, Tyga & Mystic];Major Lazer;207843;799;605;7;-10.011;1;286;0.00845;0.0143;485;378;194.055
;Wop (Official Version);J. Dash;230627;836;817;7;-5.672;1;0.0677;0.00968;0.0;114;658;112.007
;Don’t Drop That Thun Thun;Finatticz;202199;931;415;7;-8.491;1;293;0.0613;0.0;59;614;97.995
;Give It Away;Red Hot Chili Peppers;284267;683;989;9;-2.092;0;0.0616;0.00579;0.00108;0.0964;0.78;91.558
;Wakin on a Pretty Day;Kurt Vile;570733;379;782;11;-8.163;1;0.0358;0.0472;748;265;529;101.698
;Hulk (Dillon Francis Remix);Clockwork;227143;771;949;8;-4.712;1;175;0.000289;602;595;372;111.959
;Dill the Noise;Dillon Francis and Kill The Noise;295714;695;792;9;-4.595;0;0.0328;0.000183;439;0.0638;424;112.008
;Dead Sound;The Raveonettes;212947;375;804;7;-5.673;0;0.0372;0.000258;694;322;394;154.066
;Rvtchet Bitch;Brillz & Teddy Tuxedo;164289;421;0.8;11;-5.85;1;303;0.00533;332;381;0.0951;189.935
;Swing;Savage;217893;886;474;1;-8.045;0;274;0.0216;0.0;88;823;150.068
;You & Me - Baauer Remix;Disclosure;242056;0.65;985;6;-3.406;0;133;0.0597;325;0.36;667;153.009
;Next Order;Dog Blood;285651;0.76;944;6;-3.793;0;0.0733;0.0155;0.85;363;294;123.985
;It's You;Duck Sauce;180107;824;883;0;-2.715;1;108;0.0645;0.0707;409;846;127.989
;m.A.A.d city;Kendrick Lamar;350120;482;0.72;2;-6.812;1;271;0.0553;2.07e-06;461;222;90.999
;Bounce It;Juicy J;263120;786;604;6;-8.372;1;0.0614;0.00778;0.0;102;502;140.054
;Pu$$y Magnet (feat. Keayshawn);Roach Gigz;139240;853;578;10;-4.897;0;0.2;0.00842;0.0;95;566;98.027
;Fashion Killa;A$AP Rocky;236280;794;0.82;11;-5.214;1;152;315;0.0;531;821;140.042
;I Wanna Be With You;DJ Khaled;251333;725;661;7;-3.903;1;131;114;0.0;291;432;127.82
;Gas Pedal (feat. IamSu);Sage The Gemini;207264;854;0.46;10;-9.71;0;0.14;25;0.0;128;492;97.512
;Red Nose;Sage The Gemini;198531;862;364;11;-9.727;0;137;436;0.0;0.0688;766;97.51
;U.O.E.N.O. Remix (feat. Future, Wiz Khalifa);Rocko;262857;432;703;10;-3.845;0;332;461;0.0;779;675;187.302
;VERSACE;Flap Jack;246100;847;713;6;-3.89;0;241;0.0235;0.0;331;338;132.063
;Strictly 4 My Jeeps;Action Bronson;165432;654;794;1;-4.307;1;322;444;0.0;127;464;96.973
;The Giver - Original Mix;Duke Dumont;389493;701;914;7;-4.463;1;129;0.000134;0.000137;169;372;123.966
;Lean & Bounce;Duke Dumont;310334;844;728;11;-6.805;0;0.0582;0.00264;865;0.0544;635;124.297
;Swishas and Dosha - Main Version - Clean;UGK;311093;582;884;8;-5.635;0;166;155;0.0;0.0725;0.67;150.195
;Players Anthem;UGK;172760;697;682;7;-9.022;1;219;0.0352;0.0;664;672;155.742
;Hold On, We're Going Home;Drake;227027;766;453;6;-6.651;0;67;3;3.49e-05;0.0923;346;100.002
;Living;2 Chainz;188347;872;541;5;-5.911;1;103;426;0.000789;132;653;95.971
;Taylor Gang - Bonus Track;Wiz Khalifa;335156;621;813;6;-3.59;0;158;0.0152;0.0;691;524;141.91
;I'm A Martian;Brian Pumper;205740;675;617;10;-7.74;1;256;311;0.0;0.19;508;140.124
;The Drop;Bro Safari;229853;689;879;0;-4.03;0;0.0978;104;0.0376;0.49;544;170.036
;Drippin;MiM0SA;160858;0.63;664;9;-7.245;1;172;11;82;105;231;179.955
;Heaven;TR/ST;296400;514;0.75;2;-7.847;1;28;0.00246;0.0285;139;551;86.018
;I Need You;Glass Figure;222160;599;677;11;-6.328;1;0.0314;0.0557;0.00018;434;108;126.012
;From Nowhere;Dan Croll;197120;0.64;888;1;-5.251;0;169;0.0281;8.01e-05;0.0584;664;87.93
;I Follow Rivers;Lykke Li;228467;599;533;9;-14.032;0;0.0472;475;0.00153;235;609;122.262
;L'Amour Parfait;Yelle;234994;667;901;9;-3.719;0;0.0275;356;0.00393;0.0774;824;140.026
;Northern Lights;Kate Boy;214693;742;0.77;10;-6.339;0;0.0514;109;0.0239;104;687;96.988
;Shabba;A$AP Ferg;281373;874;704;9;-6.27;1;102;0.0938;0.0;409;444;119.954
;Work;A$AP Ferg;178507;726;834;10;-5.564;1;0.0565;152;683;0.0845;574;130.04
;Work REMIX;A$AP Ferg;285947;834;732;1;-5.121;1;138;0.0247;0.0;112;308;130.011
;The Way We Are;Kate Boy;252313;712;865;1;-6.411;1;83;0.00469;0.0412;121;831;113.015
;U.O.E.N.O. (feat. Rick Ross, Future);Rocko;260276;422;641;10;-4.947;0;323;422;0.0;317;668;187.027
;Now You Do;A-1;182384;651;773;6;-6.855;0;262;268;0.0;172;418;129.882
;Holding On - Jerome LOL Remix;Classixx;294011;728;0.77;10;-4.945;0;0.0426;0.00142;229;603;668;108.991
;Music Is the Answer - Original Extended 12-Inch Mix;Celeda;849960;907;643;1;-8.657;0;0.0549;0.0296;0.0265;105;363;124.909
;Test Me - UZ Remix;Flosstradamus & DJ Sliink;233272;855;898;7;-3.863;1;61;0.00255;2.95e-05;0.0563;525;135.965
;Test Me;Flosstradamus & DJ Sliink;215294;769;792;7;-4.086;1;111;0.000901;0.0;385;323;136.021
;No New Friends - SFTB Remix;DJ Khaled;307467;0.7;675;2;-6.362;1;149;0.00525;0.0;657;227;124.882
;R.I.P.;Jeezy;199973;825;489;11;-9.32;1;263;0.0215;0.0;111;424;96.99
;Baby Blue;Badfinger;216453;607;913;11;-6.822;1;69;15;118;164;517;124.677
;Dip;Danny Brown;211825;751;882;1;-5.605;1;0.0819;0.0193;0.0;0.15;657;140.103
;25 Bucks [feat. Purity Ring];Danny Brown;210880;723;848;5;-7.11;1;0.0833;0.32;0.0;144;261;116.021
;Fascism;Sam Sparro;299383;626;888;9;-4.981;0;0.0461;0.00152;0.0551;243;728;126.976
;Marc Jacobs;Riff Raff;259683;743;633;9;-8.224;1;235;0.00723;0.0;246;398;85.041
;One Of Us - Original Mix;Iron Galaxy & Sexlife;437293;752;767;5;-8.022;0;0.0469;224;931;0.0833;564;117.973
;Can We Go Up?;Paper Diamond;214636;0.66;763;4;-6.832;0;0.0636;0.000768;0.0389;0.0637;661;137.932
;This Lonely Morning;Best Coast;162436;211;963;7;-4.061;1;118;0.00144;0.000732;162;395;128.113
;Time Has Come Today;The Chambers Brothers;290933;528;514;2;-11.909;1;133;0.0252;0.0894;0.0725;428;122.872
;Sad Eyes;Crystal Castles;207027;442;797;1;-7.352;1;0.0349;4.91e-05;293;0.0749;274;135.018
;Wearing My Rolex - Radio Edit;Wiley;170480;876;716;1;-6.884;1;135;0.0468;0.000482;0.0667;758;131.942
;Need U (100%) [feat. A*M*E] [Radio Edit];Duke Dumont;174122;0.67;848;0;-5.103;0;0.0537;0.00174;0.00168;385;0.46;124.029
;Stoned and Starving;Parquet Courts;311680;237;0.89;5;-7.445;1;0.0599;268;843;122;308;169.792
;Reflektor;Arcade Fire;453949;0.59;721;11;-8.32;0;0.0317;0.0438;0.0155;352;663;111.524
;Jack;Breach;183581;907;616;6;-7.073;0;0.0577;0.000334;425;0.11;614;124.036
;Tennis Court;Lorde;198907;764;547;0;-8.6;1;0.0576;0.0175;0.000161;0.23;404;89.993
;Primetime (feat. Miguel);Janelle Monáe;280080;667;465;8;-8.096;1;0.0339;0.0426;0.00649;465;338;123.883
;Hold On, We're Going Home;Drake;227880;772;407;6;-7.442;0;0.0907;0.00349;2.4e-05;0.0705;287;100.006
;Hannah Hunt;Vampire Weekend;237973;345;313;4;-10.098;1;0.0681;717;0.000822;0.1;166;207.969
;Latch;Disclosure;255632;502;732;1;-5.45;1;168;0.0151;0.000119;0.0897;529;122.025
;Play by Play;Autre Ne Veut;313707;0.35;844;1;-4.161;0;0.0438;0.03;0.0;177;107;114.64
;I Blame Myself;Sky Ferreira;237040;0.69;737;1;-4.123;1;0.0363;344;0.0;243;821;115.02
;Sunday;Earl Sweatshirt;205800;716;568;2;-8.904;1;212;278;1.98e-06;385;915;136.894
;Step;Vampire Weekend;251627;624;724;10;-7.113;1;101;591;7.79e-06;101;0.62;78.008
;You're Not Good Enough;Blood Orange;261360;0.74;798;0;-6.55;1;146;189;0.00128;305;574;119.964
;Strandbar (disko);Todd Terje;527705;0.81;949;2;-8.732;1;0.0428;0.0543;957;155;778;121.971
;Open;Rhye;217053;574;324;0;-10.993;1;0.0307;886;0.0817;0.28;226;91.007
;Falling;HAIM;257733;741;894;2;-5.648;1;69;76;4.89e-05;0.0835;0.31;111.969
;White Noise;Disclosure;277688;667;848;10;-6.164;0;0.05;0.00963;0.000213;317;895;119.975
;Bumpy Road;Destruction Unit;377177;122;913;11;-5.815;0;0.0499;0.000195;713;269;0.0957;185.906
;Shabba;A$AP Ferg;275867;869;712;9;-6.136;1;103;0.0715;0.0;272;458;120.0
;Work REMIX;A$AP Ferg;283693;841;733;1;-5.077;1;142;0.0246;0.0;174;291;130.009
;Dope;Tyga;224853;816;543;0;-6.923;1;238;0.0116;0.0;0.13;373;95.04
;Here Comes The Night Time II;Arcade Fire;171620;288;394;7;-14.352;1;0.0399;649;712;145;0.0733;151.632
;Warm In The Winter;Glass Candy;405213;0.57;742;6;-12.475;1;0.0366;0.0392;177;0.0993;39;127.193
;Don't Let It Get to Your Head;Black Harmony;442213;807;634;11;-9.035;1;0.0727;0.00626;0.0288;0.0442;674;94.242
;We Fall Down;ASTR;224286;656;787;8;-5.01;1;43;0.0086;0.0923;376;0.0933;94.495
;R U With Me;ASTR;264384;333;789;6;-5.784;1;0.0782;0.0152;0.0;0.0639;338;82.66
;Blue Hawaii;ASTR;224685;652;744;7;-4.098;0;0.0378;64;2.87e-05;342;488;123.006
;Razor;ASTR;218356;771;857;8;-6.114;0;102;0.000986;0.0161;323;0.66;108.03
;Stay;Rihanna;240707;619;324;9;-10.146;0;0.0271;949;5.42e-05;114;0.0968;111.927
;The Sound Of San Francisco - Progressive Album Mix;Global Deejays;224200;701;829;6;-5.749;0;0.0513;0.000483;0.00223;0.14;501;132.349
;Sunshine Of Your Love;Cream;250653;683;478;2;-12.501;1;0.0356;503;5.26e-05;113;771;115.121
;Somebody to Love;Jefferson Airplane;180000;507;0.63;4;-8.746;1;0.0355;364;0.0127;293;559;130.141
;San Francisco (Be Sure to Wear Flowers In Your Hair) - Single Version;Scott McKenzie;178507;529;645;7;-8.158;1;0.0265;514;0.00821;113;464;112.575
;White Rabbit;Jefferson Airplane;155040;561;329;2;-12.68;1;0.0282;351;0.0311;116;297;105.029
;Pleasure Power (DJ Smash Disco Remix);Afrolicious;352341;827;462;8;-10.673;1;0.0623;0.000294;543;0.0886;341;123.994
;Bound 2;Kanye West;229147;359;662;1;-2.843;1;0.0466;134;0.0;0.0907;296;152.096
;Drunk in Love;Beyoncé;323480;589;621;5;-6.902;0;0.0468;0.00969;0.00104;181;398;140.03
;Viol - Original Mix;Gesaffelstein;343878;597;839;7;-6.964;1;0.0377;7.59e-05;825;0.55;199;108.993
;Good Mistake;Mr Little Jeans;256133;677;0.64;11;-6.408;0;0.0428;0.00778;477;93;912;110.639
;Runaway;Mr Little Jeans;260147;556;722;9;-9.541;1;0.0475;0.0261;0.0163;166;508;130.028
;Fall In Love;Phantogram;223227;348;856;2;-3.216;0;0.0979;0.0416;0.0;203;261;188.046
;You’re Not The One;Sky Ferreira;235920;468;971;1;-3.382;0;0.0609;0.00207;0.00329;146;814;92.003
